method,time,memory,ram
load_dataset,0.3416743278503418,88662016,0
get_columns,0.0002970695495605469,0,0
get_columns,0.00042748451232910156,0,0
locate_null_values,0.0031859874725341797,274432,0
sort,0.16904783248901367,0,0
query,0.007512807846069336,516096,0
join,0.025696277618408203,1548288,0
delete_columns,0.0003826618194580078,0,0
rename_columns,0.0005466938018798828,0,0
delete_columns,0.0004937648773193359,0,0
calc_column,3.2556490898132324,174268416,0
calc_column,3.1842944622039795,0,0
calc_column,3.1592817306518555,2846720,0
calc_column,3.1650922298431396,2142208,0
rename_columns,0.0005013942718505859,0,0
cast_columns_types,0.00044345855712890625,0,0
join,0.016136884689331055,0,0
delete_columns,0.0003409385681152344,0,0
join,0.05008697509765625,0,0
join,0.040816307067871094,0,0
calc_column,2.1513514518737793,9011200,0
groupby,2.4617364406585693,7704576,0
groupby,2.4826109409332275,0,0
drop_duplicates,7.695669651031494,292909056,0
fill_nan,0.0186460018157959,0,0
replace,0.02508258819580078,0,0
replace,0.026245832443237305,0,0
to_csv,0.7967994213104248,0,0
