method,time,memory,ram
load_dataset,0.6596620082855225,172613632,0
get_columns,0.00034499168395996094,0,0
locate_null_values,0.0013041496276855469,0,0
sort,0.03198409080505371,56995840,0
query,0.016943693161010742,23224320,0
join,0.07135486602783203,107728896,0
delete_columns,0.02828526496887207,23224320,0
rename_columns,0.029117107391357422,11096064,0
delete_columns,0.03473782539367676,23740416,0
calc_column,1.7487351894378662,264024064,0
calc_column,3.3537204265594482,0,0
calc_column,5.0132670402526855,32960512,0
calc_column,6.474591255187988,5783552,0
rename_columns,6.531136751174927,79101952,0
cast_columns_types,6.4446165561676025,20353024,0
join,12.899426698684692,331739136,0
join,12.874347686767578,66797568,0
join,13.042839527130127,51204096,0
calc_column,7.939269781112671,71507968,0
groupby,7.541934251785278,38625280,0
groupby,7.466567277908325,0,0
drop_duplicates,7.4797446727752686,84910080,0
fill_nan,7.737340450286865,224526336,0
replace,8.051734685897827,134144000,0
replace,8.941503286361694,65249280,0
to_csv,18.05948257446289,0,0
