method,time,memory,ram
load_dataset,6.824464321136475,1487781888,0
get_columns,0.7249548435211182,183660544,0
get_columns,0.5666089057922363,0,0
locate_null_values,1.568070650100708,0,0
sort,0.6419978141784668,15106048,0
query,0.6332685947418213,389120,0
join,1.4357824325561523,48259072,0
delete_columns,1.0350728034973145,19587072,0
rename_columns,0.8830068111419678,61788160,0
delete_columns,1.0861155986785889,45727744,0
calc_column,5.35697078704834,1445007360,0
calc_column,6.487910747528076,1831407616,0
calc_column,8.573792219161987,1588965376,0
calc_column,11.265676498413086,1226952704,0
rename_columns,5.875500917434692,283279360,0
cast_columns_types,6.438354730606079,52813824,0
join,6.850947856903076,66629632,0
delete_columns,5.950588703155518,0,0
join,6.814252138137817,6651904,0
join,7.30388069152832,91402240,0
calc_column,15.219181537628174,30384128,0
groupby,8.089964151382446,9424896,0
groupby,8.371029138565063,19525632,0
drop_duplicates,10.177359104156494,580157440,0
fill_nan,9.690465211868286,515022848,0
replace,9.19487714767456,492077056,0
replace,9.012170314788818,57188352,0
to_csv,21.542543411254883,134574080,0
