method,time,memory,ram
load_dataset,8.44654893875122,203563008,0
get_columns,0.0010459423065185547,32768,0
get_columns,0.0014376640319824219,16384,0
locate_null_values,0.09366011619567871,36605952,0
sort,0.12110352516174316,62111744,0
query,0.5242931842803955,212066304,0
join,0.020320415496826172,0,0
delete_columns,0.004242897033691406,0,0
rename_columns,0.005278587341308594,0,0
delete_columns,0.005658864974975586,0,0
calc_column,1.0187270641326904,0,0
calc_column,0.34790730476379395,0,0
calc_column,0.3469865322113037,11079680,0
calc_column,0.33867526054382324,0,0
rename_columns,0.004803180694580078,0,0
cast_columns_types,0.00467681884765625,0,0
join,0.0177614688873291,0,0
delete_columns,0.004393339157104492,0,0
join,0.021032094955444336,2838528,0
join,0.019839048385620117,0,0
calc_column,0.33089542388916016,8294400,0
groupby,0.14164304733276367,7471104,0
groupby,0.06183290481567383,200704,0
drop_duplicates,0.027714252471923828,0,0
fill_nan,0.005673885345458984,0,0
replace,0.012770891189575195,516096,0
replace,0.007265329360961914,0,0
to_csv,0.4149141311645508,10825728,0
