method,time,memory,ram
load_dataset,5.975857496261597,479956992,0
get_columns,0.29873204231262207,114356224,0
get_columns,0.19073152542114258,26529792,0
locate_null_values,0.41991376876831055,63279104,0
sort,0.2111508846282959,57671680,0
query,0.17067646980285645,127025152,0
join,3.188318967819214,4624191488,0
delete_columns,0.6667168140411377,29003776,0
rename_columns,0.4456777572631836,25972736,0
delete_columns,0.34244394302368164,4878336,0
calc_column,0.41413331031799316,0,0
calc_column,0.37677979469299316,651264,0
calc_column,0.3874814510345459,36864,0
calc_column,0.36759161949157715,3346432,0
rename_columns,0.5301103591918945,50728960,0
cast_columns_types,0.5314438343048096,119513088,0
join,2.7604753971099854,1858535424,0
delete_columns,1.3074817657470703,198127616,0
join,2.117382049560547,12546048,0
join,1.9846887588500977,24051712,0
calc_column,1.5835726261138916,0,0
groupby,1.4864563941955566,44834816,0
groupby,1.2738828659057617,0,0
drop_duplicates,4.672624826431274,67440640,0
fill_nan,2.5733225345611572,15622144,0
replace,2.0807759761810303,38395904,0
replace,2.0345370769500732,55812096,0
to_csv,6.746739864349365,74063872,0
