method,time,memory,ram
load_dataset,2.6336288452148438,287485952,0
get_columns,0.001195669174194336,0,0
get_columns,0.001967191696166992,0,0
locate_null_values,1.6073942184448242,615768064,0
sort,3.9179060459136963,206524416,0
query,0.2999274730682373,6533120,0
join,0.5152537822723389,40202240,0
delete_columns,0.01450037956237793,0,0
rename_columns,0.019678592681884766,290816,0
delete_columns,0.008431434631347656,225280,0
calc_column,5.992793321609497,278986752,0
calc_column,1.435180902481079,0,0
calc_column,1.4652752876281738,0,0
calc_column,1.431924819946289,0,0
rename_columns,0.016538619995117188,61440,0
cast_columns_types,1.0059049129486084,4624384,0
delete_columns,0.01736927032470703,0,0
calc_column,1.0621821880340576,8691712,0
groupby,0.8974504470825195,1802240,0
groupby,0.6970221996307373,0,0
drop_duplicates,2.6519055366516113,3055616,0
fill_nan,7.518199443817139,0,0
replace,0.8510558605194092,0,0
replace,0.5880389213562012,0,0
