method,time,memory,ram
load_dataset,45.92497992515564,7158693888,0
get_columns,0.0004200935363769531,0,0
locate_null_values,21.783903121948242,6725087232,0
sort,5.444463729858398,557056,0
query,0.3193948268890381,213954560,0
join,1.6566095352172852,2027520,0
delete_columns,1.669480800628662,0,0
rename_columns,3.251248598098755,54947840,0
delete_columns,1.4078032970428467,0,0
calc_column,77.91205620765686,150859776,0
calc_column,85.6626808643341,0,0
calc_column,87.1678192615509,0,0
calc_column,87.33303833007812,7008256,0
rename_columns,3.2900547981262207,20070400,0
cast_columns_types,4.325446128845215,0,0
delete_columns,1.5332531929016113,0,0
calc_column,46.862422943115234,11231232,0
groupby,0.3656466007232666,0,0
groupby,0.3485848903656006,0,0
drop_duplicates,16.855571031570435,22511616,0
fill_nan,0.0139617919921875,0,0
replace,0.15470552444458008,0,0
replace,0.16880440711975098,0,0
to_csv,1475.6532113552094,0,0
