method,time,memory,ram
load_dataset,19.25714898109436,7369875456,0
get_columns,3.8645708560943604,37437440,0
get_columns,3.776442527770996,0,0
locate_null_values,8.063481092453003,46649344,0
sort,4.109715938568115,86827008,0
query,3.9917142391204834,0,0
join,7.487896919250488,0,0
delete_columns,7.24472188949585,0,0
rename_columns,4.873266220092773,0,0
delete_columns,7.528543710708618,0,0
calc_column,24.471611261367798,0,0
calc_column,26.413207292556763,1583181824,0
calc_column,34.87376093864441,9428652032,0
calc_column,47.91610789299011,0,0
rename_columns,31.33150863647461,9790980096,0
cast_columns_types,29.77635383605957,1031417856,0
delete_columns,32.918405055999756,0,0
calc_column,66.32400941848755,12251328512,0
groupby,43.330907583236694,4580347904,0
groupby,44.07746434211731,3220021248,0
drop_duplicates,55.459450244903564,6079762432,0
fill_nan,54.50048017501831,0,0
replace,55.51661229133606,0,0
replace,54.11636757850647,0,0
