method,time,memory,ram
load_dataset,10.131057500839233,1129906176,0
get_columns,0.0014846324920654297,0,0
get_columns,0.0009772777557373047,0,0
locate_null_values,0.35402798652648926,0,0
sort,0.24415969848632812,105476096,0
query,1.0795543193817139,431214592,0
join,0.2561526298522949,53637120,0
delete_columns,0.26047182083129883,27951104,0
rename_columns,0.19185471534729004,6832128,0
delete_columns,0.16672110557556152,14954496,0
calc_column,0.8602418899536133,0,0
calc_column,0.8199677467346191,0,0
calc_column,0.6414310932159424,60092416,0
calc_column,0.3897521495819092,33767424,0
rename_columns,0.1666414737701416,9433088,0
cast_columns_types,0.013872623443603516,11575296,0
delete_columns,0.1555633544921875,0,0
calc_column,0.3652808666229248,54779904,0
groupby,0.22013092041015625,130473984,0
groupby,0.07947373390197754,23126016,0
drop_duplicates,0.22970080375671387,171081728,0
fill_nan,0.023338794708251953,30470144,0
replace,0.008997917175292969,2891776,0
replace,0.007416725158691406,4583424,0
