method,time,memory,ram
load_dataset,9.439565181732178,4266737664,0
get_columns,0.8871884346008301,119443456,0
get_columns,0.8381500244140625,318083072,0
locate_null_values,2.0046260356903076,0,0
sort,1.1878886222839355,0,0
query,0.39965319633483887,0,0
join,6.1637678146362305,5936226304,0
delete_columns,1.0879859924316406,317304832,0
rename_columns,1.7390787601470947,1346076672,0
delete_columns,0.6950767040252686,0,0
calc_column,0.9044189453125,0,0
calc_column,0.6389703750610352,170745856,0
calc_column,0.76405930519104,0,0
calc_column,0.8404436111450195,0,0
rename_columns,0.8923506736755371,0,0
cast_columns_types,1.6034555435180664,485138432,0
delete_columns,1.2726285457611084,0,0
calc_column,1.3134005069732666,750215168,0
groupby,1.5611340999603271,1006825472,0
groupby,0.8970897197723389,83456000,0
drop_duplicates,27.686542510986328,24275156992,0
fill_nan,15.404228687286377,4282200064,0
replace,16.78477931022644,0,0
replace,14.550204277038574,0,0
to_csv,111.43292760848999,0,0
