method,time,memory,ram
load_dataset,21.690223455429077,11520868352,0
get_columns,4.842581033706665,610336768,0
get_columns,3.6272151470184326,107638784,0
locate_null_values,7.918807744979858,114372608,0
sort,3.8676846027374268,0,0
query,3.6812329292297363,61620224,0
join,7.649927854537964,120442880,0
delete_columns,6.917847156524658,54497280,0
rename_columns,4.528578042984009,19652608,0
delete_columns,8.073889970779419,0,0
calc_column,23.176084280014038,14636331008,0
calc_column,24.839155435562134,2150727680,0
calc_column,37.22764444351196,110018560,0
calc_column,46.799654722213745,8275116032,0
rename_columns,28.51020383834839,8346488832,0
cast_columns_types,27.569367170333862,479875072,0
delete_columns,32.10074019432068,589971456,0
calc_column,62.217100620269775,0,0
groupby,42.46437692642212,390254592,0
groupby,46.06967329978943,15249739776,0
drop_duplicates,68.12310671806335,19860680704,0
fill_nan,56.58486795425415,154316800,0
replace,57.388206243515015,0,0
replace,53.0718309879303,0,0
to_csv,264.4990255832672,0,0
