method,time,memory,ram
load_dataset,9.310572624206543,88109056,0
get_columns,0.0012054443359375,0,0
get_columns,0.0014004707336425781,0,0
locate_null_values,0.34086012840270996,19591168,0
sort,0.27353715896606445,59310080,0
query,0.965914249420166,38289408,0
join,0.191054105758667,6766592,0
delete_columns,0.12474632263183594,1822720,0
rename_columns,0.1215677261352539,18767872,0
delete_columns,0.16390657424926758,0,0
calc_column,0.540447473526001,8839168,0
calc_column,0.45030927658081055,68689920,0
calc_column,0.3856384754180908,0,0
calc_column,0.36211371421813965,401408,0
rename_columns,0.12550902366638184,4104192,0
cast_columns_types,0.004336357116699219,0,0
delete_columns,0.12547564506530762,827392,0
calc_column,0.34150004386901855,3149824,0
groupby,0.27220773696899414,63496192,0
groupby,0.0803368091583252,13156352,0
drop_duplicates,0.20650506019592285,0,0
fill_nan,0.019068241119384766,11153408,0
replace,0.011420488357543945,1298432,0
replace,0.0074405670166015625,8192,0
